superkingdom	phylum	class	order	family	genus	species	Strain	#Hits	Frequency (%)
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis	Bacteroides fragilis NCTC 9343	3375	6.855575868372943
Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptococcaceae	Pelotomaculum	Pelotomaculum thermopropionicum	Pelotomaculum thermopropionicum SI	5000	10.156408693885842
Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter	Marinobacter hydrocarbonoclasticus	Marinobacter aquaeolei VT8	1689	3.4308348567946374
Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptococcaceae	Desulfofarcimen	Desulfofarcimen acetoxidans	Desulfotomaculum acetoxidans DSM 771	5209	10.58094657729027
Bacteria	Cyanobacteria		Nostocales	Nostocaceae	Trichormus	Trichormus azollae	 Nostoc azollae  0708	1146	2.327848872638635
Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobaculum	Chlorobaculum tepidum	Chlorobium tepidum TLS	2650	5.382896607759497
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Xenorhabdus	Xenorhabdus nematophila	Xenorhabdus nematophila ATCC 19061	2147	4.361161893154581
Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia conorii	Rickettsia conorii Malish 7	1040	2.1125330083282554
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter	Erythrobacter litoralis	Erythrobacter litoralis HTCC2594	1497	3.040828762949421
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum	Ralstonia solanacearum PSI07	4079	8.28559821247207
Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Amoebophilaceae	Candidatus Amoebophilus	Candidatus Amoebophilus asiaticus	Candidatus Amoebophilus asiaticus 5a2	1473	2.992078001218769
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Rothia	Rothia dentocariosa	Rothia dentocariosa ATCC 17931	981	1.992687385740402
Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	Chlorobium phaeobacteroides	Chlorobium phaeobacteroides BS1	2386	4.846638228722324
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	Escherichia coli UMN026	1483	3.0123908186065407
Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Orientia	Orientia tsutsugamushi	Orientia tsutsugamushi Boryong	469	0.9526711354864918
Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xylella	Xylella fastidiosa	Xylella fastidiosa Temecula1	287	0.5829778590290473
Bacteria	Actinobacteria	Actinomycetia	Catenulisporales	Catenulisporaceae	Catenulispora	Catenulispora acidiphila	Catenulispora acidiphila DSM 44928	1303	2.6467601056266505
Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Anaplasma	Anaplasma phagocytophilum	Anaplasma phagocytophilum HZ	750	1.5234613040828764
